ra,ano_base,ano_alvo,nome,fase_num,idade,genero,ano_ingresso,inde,pedra,defasagem,iaa,ieg,ips,ipp,ida,ipv,ian,mat,por,ing,defasagem_next,inde_next,ian_next,pedra_next,y_risco,y_piora_defasagem,y_queda_inde,features_ausentes
RA-413,2022,2023,Aluno-413,2.0,12.0,F,2022,6.408,Ágata,-1,6.4,8.7,5.6,,4.7,7.056,5.0,4.2,5.2,,-1,6.803633333,5.0,Ágata,1,0,0,False
RA-414,2022,2023,Aluno-414,2.0,12.0,F,2021,7.284,Ametista,-1,8.0,9.3,7.5,,5.9,7.667,5.0,5.7,6.2,,0,7.25025,10.0,Ametista,0,0,1,False
RA-414,2023,2024,Aluno-414,3.0,13.0,F,2021,7.25025,Ametista,0,0.0,9.5,7.52,7.8125,6.5,7.585,10.0,6.0,7.0,6.5,0,7.187625925933334,10.0,Ametista,0,0,1,False
RA-415,2022,2023,Aluno-415,2.0,11.0,F,2019,7.695,Ametista,0,8.0,8.3,7.5,,6.2,8.056,10.0,4.8,7.5,,0,7.18805,10.0,Ametista,0,0,1,False
RA-416,2022,2023,Aluno-416,2.0,12.0,M,2018,7.913,Ametista,-1,9.5,9.3,8.8,,7.2,8.222,5.0,6.7,7.7,,0,8.144425,10.0,Topázio,0,0,0,False
RA-416,2023,2024,Aluno-416,3.0,13.0,M,2018,8.144425,Topázio,0,9.2,9.8,2.52,8.28125,7.6,8.3375,10.0,7.0,7.0,8.8,1,8.700808577033333,10.0,Topázio,0,0,0,False
RA-417,2022,2023,Aluno-417,2.0,13.0,F,2022,8.428,Topázio,-1,10.0,10.0,7.5,,8.0,9.556,5.0,6.0,10.0,,0,8.257658333,10.0,Topázio,0,0,1,False
RA-417,2023,2024,Aluno-417,3.0,,F,2022,8.257658333,Topázio,0,5.4,9.7,7.52,8.28125,7.8,8.2125,10.0,6.7,8.3,8.3,0,8.533628557533333,10.0,Topázio,0,0,0,False
RA-418,2022,2023,Aluno-418,2.0,10.0,F,2020,8.175,Topázio,0,8.0,9.4,7.5,,7.5,8.222,10.0,6.5,8.5,,1,8.1686,10.0,Topázio,0,0,1,False
RA-418,2023,2024,Aluno-418,3.0,,F,2020,8.1686,Topázio,1,8.8,10.0,2.52,8.125,8.1,8.045,10.0,6.7,8.3,9.3,1,9.125183333366667,10.0,Topázio,0,0,0,False
RA-419,2022,2023,Aluno-419,2.0,12.0,F,2019,7.359,Ametista,-1,7.5,9.2,5.6,,6.9,8.389,5.0,5.3,8.5,,0,7.7261,10.0,Ametista,0,0,0,False
RA-419,2023,2024,Aluno-419,3.0,,F,2019,7.7261,Ametista,0,6.7,9.5,2.52,8.125,7.6,7.875,10.0,7.0,7.3,8.5,1,8.355707894766669,10.0,Topázio,0,0,0,False
RA-42,2022,2023,Aluno-42,5.0,15.0,M,2019,6.72,Ágata,0,8.3,7.9,5.6,,4.8,6.083,10.0,3.7,4.5,6.2,-1,6.794516667,5.0,Ágata,1,1,0,False
RA-42,2023,2024,Aluno-42,5.0,,M,2019,6.794516667,Ágata,-1,8.8,8.6,5.63,6.5625,5.7,6.6675,5.0,6.3,4.2,6.7,-1,7.656628769866667,5.0,Ametista,1,0,0,False
RA-420,2022,2023,Aluno-420,2.0,11.0,F,2019,7.461,Ametista,0,9.5,9.0,5.6,,4.5,8.0,10.0,1.3,7.7,,0,7.356358333,10.0,Ametista,0,0,1,False
RA-420,2023,2024,Aluno-420,3.0,,F,2019,7.356358333,Ametista,0,8.3,9.3,2.52,7.65625,5.3,7.96,10.0,5.7,5.8,4.3,1,7.544228947400001,10.0,Ametista,0,0,0,False
RA-421,2022,2023,Aluno-421,2.0,11.0,M,2021,8.717,Topázio,0,8.5,9.3,7.5,,8.8,9.111,10.0,9.2,8.5,,0,8.030716667,10.0,Topázio,0,0,1,False
RA-421,2023,2024,Aluno-421,3.0,,M,2021,8.030716667,Topázio,0,9.2,9.9,2.52,7.8125,7.3,8.17,10.0,8.0,6.2,7.8,1,8.488232329,10.0,Topázio,0,0,0,False
RA-422,2022,2023,Aluno-422,2.0,12.0,M,2022,6.746,Ágata,-1,8.5,10.0,7.5,,2.5,7.5,5.0,1.0,4.0,,-1,5.57,5.0,Quartzo,1,0,1,False
RA-422,2023,2024,Aluno-422,2.0,,M,2022,5.57,Quartzo,-1,0.0,7.8,7.52,6.666666667,4.4,6.106666667,5.0,3.0,5.7,,-1,5.544981481433334,5.0,Quartzo,1,0,1,False
RA-423,2022,2023,Aluno-423,2.0,12.0,F,2022,6.647,Ágata,-1,8.4,9.6,7.5,,2.3,7.667,5.0,0.5,4.0,,-1,6.607533333,5.0,Ágata,1,0,1,False
RA-423,2023,2024,Aluno-423,2.0,13.0,F,2022,6.607533333,Ágata,-1,8.0,8.7,6.89,7.083333333,3.4,7.45,5.0,2.3,4.5,,0,6.616193704866666,10.0,Ágata,0,0,0,False
RA-424,2022,2023,Aluno-424,2.0,12.0,F,2022,7.94,Ametista,-1,9.0,10.0,7.5,,7.5,8.222,5.0,10.0,5.0,,0,7.72685,10.0,Ametista,0,0,1,False
RA-424,2023,2024,Aluno-424,3.0,,F,2022,7.72685,Ametista,0,8.8,9.9,2.52,7.8125,6.4,7.7925,10.0,5.0,6.7,7.5,0,7.341187280733334,10.0,Ametista,0,0,1,False
RA-425,2022,2023,Aluno-425,2.0,12.0,M,2022,8.117,Topázio,-1,9.0,10.0,7.5,,9.0,7.5,5.0,9.0,9.0,,0,8.10555,10.0,Topázio,0,0,1,False
RA-425,2023,2024,Aluno-425,3.0,13.0,M,2022,8.10555,Topázio,0,9.2,9.9,2.52,7.8125,7.5,8.3775,10.0,6.7,7.3,8.5,0,9.0166166667,10.0,Topázio,0,0,0,False
RA-426,2022,2023,Aluno-426,2.0,14.0,F,2022,6.35,Ágata,-2,9.0,6.5,7.5,,4.6,7.111,5.0,2.3,6.8,,-1,6.329158333,5.0,Ágata,1,0,1,False
RA-426,2023,2024,Aluno-426,3.0,,F,2022,6.329158333,Ágata,-1,5.4,7.6,5.0,7.65625,5.0,7.5425,5.0,4.7,5.2,5.0,-1,6.6430030186,5.0,Ágata,1,0,0,False
RA-428,2022,2023,Aluno-428,2.0,13.0,M,2022,7.683,Ametista,-1,6.8,8.7,7.5,,9.5,7.111,5.0,10.0,9.0,,0,7.821816667,10.0,Ametista,0,0,0,False
RA-428,2023,2024,Aluno-428,3.0,,M,2022,7.821816667,Ametista,0,8.3,9.5,2.52,7.8125,7.2,8.0425,10.0,9.3,4.7,7.7,0,7.534949122800001,10.0,Ametista,0,0,1,False
RA-43,2022,2023,Aluno-43,5.0,16.0,F,2019,5.486,Quartzo,-1,6.3,6.5,5.6,,4.3,5.958,5.0,4.0,5.8,3.2,-1,6.4622,5.0,Ágata,1,0,0,False
